population,average_monthly_income,daily_foot_traffic,nearby_competitors,monthly_rent,distance_to_mall_km,nearby_retail_stores,estimated_monthly_customers,average_purchase_value,monthly_operating_cost,local_demand_score,target_age_group_score,profitable
131958,10144.75,1784,0,16791.56,3.51,34,609,352.52,24260.02,6.5,4.9,0
156867,9711.16,3648,14,6358.8,2.95,30,1079,421.64,15028.63,1.4,4.8,0
141932,7209.96,1268,8,11407.01,7.83,35,180,331.62,12138.47,2.3,5.4,0
375838,2548.6,6107,0,2581.14,10.12,54,910,121.89,12731.75,4.9,3.6,0
269178,8724.47,20086,5,18389.79,0.76,147,1623,307.58,23062.57,8.4,5.4,1
129879,4039.83,19671,6,8680.99,3.39,56,2867,178.13,18738.59,7.6,4.4,1
120268,11066.22,19094,2,8479.85,6.89,42,1676,347.01,11263.21,9.8,9.2,1
217892,10301.79,7899,11,6752.35,5.03,24,1657,478.22,10758.69,1.4,6.1,1
64886,8948.52,23222,14,9752.61,10.72,103,3500,293.03,16865.15,4.4,8.5,1
147337,11462.88,858,0,5783.43,7.72,48,245,402.49,12889.28,2.4,7.2,0
485602,1829.93,1349,6,8122.19,2.49,115,105,78.96,13520.5,1.3,2.9,0
440410,9230.1,7998,2,16198.99,13.43,93,1296,379.41,24657.63,3.4,8.8,1
97498,4967.55,5022,12,16850.85,4.46,67,735,195.06,22822.45,3.2,1.8,0
384871,11013.69,19428,9,6779.47,10.99,122,1774,385.04,16657.11,4.8,5.0,1
398468,4300.09,13273,11,9911.27,11.72,76,2240,228.67,11921.33,2.3,3.2,0
185203,9110.99,18715,11,17602.58,14.45,58,2803,280.14,25000.0,5.4,5.8,1
201335,10715.29,18356,5,2000.79,7.53,141,3500,354.45,9600.5,9.3,3.7,1
288167,1937.4,10128,12,17893.75,9.28,147,3292,72.15,16753.98,7.7,7.5,0
51090,5675.3,829,11,5164.5,5.09,52,163,163.8,9179.99,8.6,9.4,0
339365,9504.24,6351,13,13892.25,10.2,105,1804,441.3,13448.63,8.2,7.4,1
74820,6276.65,7532,5,12068.48,7.0,64,782,192.16,17594.15,4.5,4.2,0
272913,4306.15,15826,13,11505.87,6.62,102,3500,250.1,15441.13,7.4,6.4,1
331879,3807.96,5766,15,17327.84,12.85,104,610,204.07,25000.0,7.8,9.0,0
204027,2880.94,4854,11,2929.87,0.85,103,571,176.99,15634.45,2.9,3.4,0
337069,10499.86,23319,3,7593.53,13.24,77,2144,514.35,18808.55,8.7,2.1,1
262709,7541.23,24862,11,11226.8,12.8,123,3500,305.71,17495.96,5.1,2.2,1
209041,2302.04,21122,10,16414.49,7.64,132,3500,41.43,25000.0,1.1,5.5,0
277455,5517.09,22996,5,5112.42,7.4,144,3500,215.53,9559.24,6.8,7.6,1
113355,5361.2,15582,10,16255.67,5.49,92,3500,186.11,22292.98,7.1,6.9,1
245796,3408.26,5222,9,8593.13,14.91,109,909,100.87,13982.44,6.0,5.1,0
224176,6072.83,18272,3,4589.36,1.76,23,3500,250.46,7898.93,2.9,7.6,1
194779,4987.04,21069,15,15420.74,8.89,84,3500,183.9,15280.57,5.3,6.7,1
357449,5088.94,9411,14,2727.08,10.26,30,2887,165.95,11438.5,4.6,6.7,1
